# POS,ID,PosScore,NegScore,SynsetTerms,Gloss
a,166146,0.875,0,h?p_d?n#1,"thích nhìn, say mê v? ??p; ""qu?n áo h?p d?n""; ""mô t? quy?n sách v? hình minh h?a h?p d?n"""
a,362467,0.75,0,vui_v?#1,"m?t tinh th?n t?t, th? hi?n tâm tr?ng r?t vui ; ""tính vui v? c?a cô ?y""; ""m?t l?i chào vui v?""; ""m?t c?n phòng vui v?"""
a,15589,0.125,0.375,dài#9,"có ho?c ?ang ???c nhi?u h?n m?c bình th??ng ho?c c?n thi?t; ""cái qu?n dài"""
a,15854,0,0.25,phong_phú#1,"có m?t s? l??ng l?n; ""tê giác ?ã t?ng phong phú ? ?ây"""
a,16247,0.125,0.5,th?a_thãi#1,"có r?t nhi?u; ""n??c th?a tha?i"""
a,16756,0,0.25,khan_hi?m#1,"thi?u s? l??ng so v?i yêu c?u; ""rau xanh khan hi?m trong th?i ?i?m h?n hán"""
a,17782,0.625,0,ch?p_nh?n#1,"??ng ý nh?n (?i?u ng??i khác yêu c?u ho?c ?? ra) ; ""m?c b?c x? ch?p nh?n ???c"""
a,21766,0.5,0,chính_xác#1,"phù h?p ho?c g?n ?úng v?i th?c t? ho?c m?t tiêu chu?n..; ""s? ?o chính xác""; ""m?t quy mô chính xác"""
a,167278,0.5,0,d?_th??ng#1,"gây ???c tình c?m m?n th??ng ? ng??i khác ; ""m?t con bé d? th??ng"""
a,35779,0.25,0.125,nhanh#3,"có t?c ??, nh?p ?? trên m?c bình th??ng; ""xe ch?y nhanh"""
a,49016,0.5,0,hoàn_ch?nh#1,"có ??y ?? t?t c? các b? ph?n c?u thành c?n thi?t; ""m?t b? máy hoàn ch?nh"""
a,50446,0.125,0.625,gi?n_l??c#1,"rút g?n ho?c gi?m b?t; ""trình bày m?t cách gi?n l??c"""
a,61262,0.5,0,khéo_tay#1,"nhanh, gi?i ho?c chuyên nghi?p khi làm gì ?ó; ""cô ?y khéo tay may vá"""
a,61664,0.625,0,nguyên_ch?t#4,"ch? thu?n m?t ch?t, không có ch?t khác l?n vào ho?c không có s? pha ch? ; ""vàng nguyên ch?t"""
a,64479,0.625,0,thu?n_l?i#1,"?i?u ki?n t?t ?? làm gì ?ó; ""th?i ti?t thu?n l?i"""
a,64787,0.625,0,có l?i#1,"có ph?m ch?t, ch?t l??ng cao h?n m?c bình th??ng; ""lúa t?t"""
a,65064,0.75,0,tích_c?c#3,"có tác d?ng kh?ng ??nh, thúc ??y s? phát tri?n; ""cô ?y có suy ngh? tích c?c"""
a,65488,0,0.75,b?t_l?i#1,"gây thi?t h?i; ""?ó là v?n ?? b?t l?i v?i chúng ta"""
a,67038,0.625,0,khuy?n_khích#1,"x?ng ?áng ???c ?? ngh? ho?c ?? xu?t; ""nó ???c khuy?n khích làm vi?c ?ó"""
a,67379,0.75,0,t?t_h?n#3 t?t nh?t#2,"khôn ngoan h?n ho?c có nhi?u thu?n l?i h?n; ""cái xe này t?t h?n xe kia"""
a,70939,0.125,0.5,?nh_h??ng#1,"có tác ??ng ??n m?t ?i?u gì ?ó; ""tôi b? ?nh h??ng b?i ti?ng ?n"""
a,71142,0.5,0,?n_t??ng#1,"ch?u tác ??ng ho?c ?nh h??ng rõ r?t; ""tôi ?n t??ng v?i cách tr? l?i c?a cô ?y"""
a,75515,0,0.75,ph?_??nh#2,"bác b? s? t?n t?i, s? c?n thi?t c?a cái gì; ""câu ph? ??nh"""
a,75389,0.5,0,??ng_ý#1,"cùng quan ?i?m ho?c suy ngh? v?i ai ?ó; ""anh ?y ??ng ý v?i tôi"""
a,77645,0,0.5,s?#1,"lo l?ng v? cái gì ?ó; ""cô ?y r?t s? ma"""
a,78851,0,0.625,báo_??ng#1,"c?m giác b?t ng? v? m?t s? nguy hi?m nào ?ó; ""ti?ng chuông báo ??ng"""
a,101609,0.75,0,v?_tha#1,"s?n lòng b? qua l?i l?m c?a ng??i khác; ""cô ?y s?ng r?t v? tha"""
a,102201,0.125,0,m?_h?#2,"không xác ??nh ???c v?n ??; ""tôi v?n còn m? h? v? v?n ?? ?ó"""
a,106182,0.25,0,hào_phóng#3,"r?ng rãi trong chi tiêu, trong quan h? ??i x? v?i m?i ng??i; ""h?n r?t hào phóng v?i chúng tôi"""
a,107017,0.125,0.625,ch?t_h?p#1,"có ph?m vi h?p,nh?; ""con ngõ ch?t h?p"""
a,1173697,0,0.875,t?c_gi?n#3,"c?m giác khó ch?u v?i ng??i nào ?ó; ""cô ta r?t t?c gi?n v?i tôi"""
a,560586,0.75,0,thích_h?p#1,"h?p v?i yêu c?u và ?áp ?ng t?t các ?òi h?i; ""các ?i?u ki?n thích h?p"""
a,118567,0.375,0,náo_nhi?t#1,"nh?n nh?p, sôi n?i trong ho?t ??ng; ""???ng ph? ?n ào, náo nhi?t"""
a,664879,0.5,0,ng?c_nhiên#1,"l?y làm l?, c?m th?y hoàn toàn b?t ng? v?i mình; ""ai c?ng ng?c nhiên tr??c kh? n?ng c?a anh ta"""
a,133417,0.5,0.125,ngon_lành#1,"gây ???c c?m giác thích thú, làm cho ?n ho?c u?ng không th?y chán ho?c làm vi?c gì ?ó d? dàng, nhanh chóng,không g?p b?t c? khó kh?n nào; ""bài toán này gi?i ngon lành"""
a,149686,0.125,0.5,láu_cá#1,"láu và có nhi?u m?o v?t; ""th?ng bé r?t láu cá"""
a,148642,0.625,0,quý_báu#4,"có giá tr?, ?áng ???c coi tr?ng; ""l?i khuyên quý báu"""
a,149120,0.625,0,sâu_s?c#15,"có tính ch?t ?i vào chi?u sâu, vào nh?ng v?n ?? thu?c b?n ch?t, có ý ngh?a nh?t; ""m?t tri?t lí sâu s?c"""
a,149861,0.5,0.125,t?_nhiên#2,"bình th??ng nh? v?n có c?a b?n thân, không có gì là gò bó, gi? t?o; ""?n u?ng t? nhiên"""
a,150055,0.25,0.5,b?t_c?n#2,"vô ý, không c?n th?n; ""canh phòng b?t c?n"""
a,150202,0.5,0.125,rõ_ràng#1,"rõ ??n m?c ai c?ng có th? th?y, có th? nh?n bi?t ???c m?t cách d? dàng; ""b?ng ch?ng rõ ràng"""
a,162863,0.375,0.5,nhút_nhát#1,"r?t rè, e ng?i; ""cô bé m?i ??n r?t nhút nhát"""
a,163315,0.125,0.5,kh?_d?i#2,"kém trí khôn, tinh ranh; ""cô ta hãy còn kh? d?i l?m"""
a,164681,0.125,0.5,lo_l?ng#2,"? trong tr?ng thái r?t không yên lòng; ""v? m?t lo l?ng"""
a,168039,0,0.375,phô_tr??ng#4,"ch?ng ra, bày ra cho ng??i ta th?y, ?? l?y ti?ng, l?y oai; ""phô tr??ng l?c l??ng"""
a,169692,0.125,0.25,xám_x?t#1,"xám và ?en l?i, trông t?i và x?u; ""da d? xám x?t"""
a,176150,0.625,0,th?nh_v??ng#1,"tr?ng thái phát ??t, ?ang giàu lên; ""làm ?n th?nh v??ng"""
a,182718,0.5,0,thông_minh#7,"có n?ng l?c trí tu? t?t, hi?u nhanh, ti?p thu nhanh; ""c?u bé thông minh"""
a,193480,0,0.625,x?u#4,"có hình th?c, v? ngoài khó coi, gây c?m giác khó ch?u, làm cho không mu?n nhìn ng?m; ""ch? x?u"""
a,193799,0,0.625,kh?ng_khi?p#1,"ho?ng s? ho?c làm cho ho?ng s? ? m?c r?t cao; ""tai h?a kh?ng khi?p"""
a,194357,0,0.75,?e_d?a#1,"làm ai ??y s? s?t; ""h?n ?e d?a tôi"""
a,196934,0.5,0,yên_lòng#1,"có tr?ng thái tâm lí yên ?n, không có ?i?u gì ph?i lo l?ng; ""yên lòng nh?m m?t"""
a,197247,0.5,0,qu?_quy?t#1,"t? ra có ?? quy?t tâm, không h? do d?; ""thái ?? qu? quy?t"""
a,220082,0.875,0,xinh_??p#1,"r?t xinh, có ???c s? hài hòa, trông thích nhìn; ""nh?ng cô nàng xinh ??p"""
a,219705,0.75,0,r?c_r?#1,"có màu s?c t??i sáng ??p ?? và n?i b?t h?n lên, làm cho ai c?ng ph?i chú ý; ""n?ng vàng r?c rõ"""
a,1211296,0.5,0,ti?n_b?#4,"phát tri?n theo h??ng ?i lên, t?t h?n tr??c; ""h?c hành ti?n b?"""
a,224166,0,0.75,hi?m_ác#1,"ch? ng??i ??c ác, có hành ??ng x?u; ""ông ta là con ng??i hi?m ác"""
a,226891,0.5,0,t?t_b?ng#2,"có lòng t?t,th??ng ng??i, s?n sàng giúp ?? ng??i khác; ""?ó là m?t cô gái t?t b?ng"""
a,229630,0.25,0.75,t? nh?t#1,"cái gì ?ó hình th?c r?t x?u ho?c ch?t l??ng r?t kém; ""??y là món ?n t? nh?t mà tôi t?ng ?n"""
a,264776,0,0.5,hèn_nhát#1,"kém b?n l?nh, th??ng do nhút nhát s? s?t; ""m?t k? hèn nhát"""
a,272172,0,0.25,tái_mét#2,"tái ??n m?c nh?t nh?t nh? không còn chút máu (th??ng nói v? s?c m?t); ""khuôn m?t tái mét"""
a,273901,0.125,0.5,t?i_t?m#1,"t?i, thi?u ánh sáng; ""nhà c?a t?i t?m"""
a,281342,0.25,0,h?ng_hái#3,"có lòng nhi?t tình và thái ?? tích c?c trong công vi?c; ""cô ?y r?t h?ng hái làm vi?c"""
a,291181,0,0.375,v?ng_ch?c#5,"có kh? n?ng ch?u tác ??ng m?nh t? bên ngoài mà v?n gi? nguyên ???c tr?ng thái, tính ch?t, không b? phá hu?; ""b?c t??ng ???c xây d?ng v?ng ch?c"""
a,295235,0.5,0.125,nhàn_r?i#1,"r?i rãi, không ph?i làm vi?c gì; ""anh ta có nhi?u th?i gian nhàn r?i"""
a,302761,0.375,0,bình_t?nh#2,"không b?i r?i, mà làm ch? ???c tình c?m, hành ??ng c?a mình; ""b?n không nên m?t bình t?nh nh? th?"""
a,303480,0.5,0.125,?n_??nh#4,"? tr?ng thái yên ?n, không còn có nh?ng bi?n ??ng, thay ??i ?áng k?; ""giá c? ?n ??nh"""
a,305590,0,0.75,b?n_th?u#12,"có nhi?u b?i b?m, rác r??i, cáu ghét ho?c b? hoen ?; ""cái gi? b?n th?u"""
a,251373,0,0.5,b?c_d?c#2,"b?c t?c ??n m?c không ch?u ???c, l? rõ ? nét m?t, c? ch?; ""cô ta t? v? b?c d?c"""
a,283703,0,0.5,t?i_d?#2,"ch?m hi?u, kém v? kh? n?ng ti?p thu ki?n th?c; ""con bé có v? t?i d?"""
a,290784,0.125,0.125,l??ng_l?#2,"còn ?ang suy tính xem nên hay không nên, ch?a bi?t quy?t ??nh nh? th? nào cho ?úng; ""cô ?y hãy còn l??ng l?"""
a,309021,0.5,0,c?n_th?n#1,"th?n tr?ng trong hành ??ng ho?c l?i nói c?a mình, tránh s? su?t, ?? kh?i x?y ra ?i?u b?t l?i ho?c không hay; ""c?n th?n không ngã"""
a,343552,0.5,0,c?n_thi?t#2,"c?n ??n m?c không th? nào không làm ho?c không có; ""tài li?u c?n thi?t cho công vi?c"""
a,360650,0.625,0.125,trong_sáng#1,"trong và không l?n t?p ch?t ho?c có ph?m ch?t ??o ??c t?t ??p, không b? m?t v?t nh? b?n nào; ""cán b? c?n ph?i s?ng trong s?ch"""
a,386392,0.25,0.25,trung_l?p#5 không s?c#1,"??ng ? gi?a hai bên ??i l?p, không theo ho?c không ph? thu?c vào bên nào; ""n??c trung l?p"""
a,403385,0.75,0.125,giàu#5,"có nhi?u h?n m?c bình th??ng; ""th?c ?n giàu ch?t ??m"""
a,421513,0,0.25,??c#1,"có nhi?u g?n nh? v?n lên làm cho m?, không trong; ""n??c ??c"""
a,428404,0.5,0,sáng_s?a#1,"rõ ràng, rành m?ch, d? hi?u; ""trình bày sáng s?a"""
a,438567,0,0.75,hà_kh?c#1,"khe kh?t, ác nghi?t; ""chính sách cai tr? hà kh?c"""
a,439588,0,0.75,ngu_d?t#1,"ngu và d?t nát, không hi?u cái gì; ""h?n không ph?i là m?t tên ngu d?t"""
a,441523,0.125,0.375,y?u#12,"có s?c l?c kém d??i m?c bình th??ng ho?c có m?c ??, n?ng l?c ho?c tác d?ng ít, kém so v?i bình th??ng; ""c?n bão y?u d?n"""
a,452605,0.625,0.125,bí_m?t#3,"???c gi? kín trong ph?m vi m?t s? ít ng??i, không ?? l? cho ng??i ngoài bi?t; ""h?m bí m?t"""
a,558373,0,0.75,h?n_ch?#2,"gi? l?i, ng?n l?i trong m?t gi?i h?n nh?t ??nh, không th? ho?c không ?? cho v??t qua; ""t?m nhìn còn h?n ch?"""
a,2098,0,0.75,không_th?#1,"không có, không ?? kh? n?ng ho?c ?i?u ki?n làm vi?c gì, ??i l?p v?i có th?; ""không th? nh?n ???c ti?n"""
a,5205,0.5,0,tuy?t_??i#1,"hoàn toàn, không có m?t s? h?n ch? hay m?t tr??ng h?p ngo?i l? nào c?; ""tuy?t ??i trung thành"", ""tuy?t ??i im l?ng"", ""chân lý tuy?t ??i"""
a,15720,0.125,0.5,lan_tràn#2 th?ng_d?#1,quá nhi?u
a,16647,0.5,0.125,xanh_t??i#1,"t??i t?t, ??y s?c s?ng c?a cây"
a,17024,0,0.875,hi?m#3,"r?t ít có, r?t ít x?y ra; ""hi?m các lo?i th?o m?c"", ""hi?m b?n vá l?i c?a màu xanh lá cây trong sa m?c"""
a,17186,0.125,0.5,ch?t_ch?#6,"không ?? r?i kh?i s? theo dõi, không buông l?ng; ""m?t th? tr??ng ch?t ch?"""
a,17352,0,0.625,ng??c_?ãi#1,"??i x? tàn t?, ng??c v?i ??o lí; ""m?t ng??i v? b? l?m d?ng"""
a,17782,0.625,0,ch?p_nh?n_???c#1,"x?ng ?áng v?i s? ch?p nh?n ho?c th?a ?áng; ""m?c ch?p nh?n ???c c?a b?c x?"", ""bi?u di?n ?a d?ng t? ch?p nh?n tuy?t v?i"""
a,24834,0,0.75,không quen_thu?c#1,"l? v?i l?n ??u, không quen v?i; ""không quen thu?c ?? m?c b? qu?n áo"""
a,31974,0.5,0.125,ho?t_??ng#5,"??c tr?ng b?i các ho?t ??ng n?ng ??ng; ""m?t em bé ?ang ho?t ??ng"", ""ho?t ??ng nh? m?t con linh d??ng"", ""m?t ng??i ?àn ông ho?t ??ng là m?t ng??i ?àn ông c?a hành ??ng"""
a,33077,0.5,0,nóng#21,"?ánh d?u b?ng ho?t ??ng kích thích trong m?t th?i gian ng?n, ""m?t tu?n nóng trên th? tr??ng ch?ng khoán"""
a,35868,0.5,0,nh?n_nh?p#1,"không khí ?ông vui, t?p n?p, do có nhi?u ng??i qua l?i ho?c cùng tham gia ho?t ??ng , ""m?t thành ph? nh?n nh?p"""
a,36998,0,0.5,ch?m_ch?p#2,"có t?c ??, nh?p ?? d??i m?c bình th??ng; ""m?t th? tr??ng ch?m ch?p"""
a,1841295,0,0.75,ch?m#1,"không ph?i là ??n nay cùng nh? bình th??ng trong phát tri?n; ""kinh t? phát tri?n ch?m"""
a,42837,0,0.5,vô_hi?u#1,"không có hi?u l?c, không mang l?i k?t qu?; ""lu?t này ?ã vô hi?u t? tháng 4"""
a,44608,0,0.625,?n#1,"khó phát hi?n; ""m?t tr?i ?n trong ?ám mây"""
a,61885,0.625,0,khéo_léo#1,"hi?n th? sáng t?o và k? n?ng; ""m?t ti?n ích thông minh"", ""các cu?c di?n t?p x?o quy?t d?n ??n thành công c?a ông"", ""m?t gi?i pháp tài tình ?? v?n ??"""
a,63087,0.5,0,nhanh_nh?y#1,"tinh th?n nhanh nh?n và tháo vát; ""??u óc nhanh nh?y"""
a,69948,0.625,0,ngh?_thu?t#2,"?áp ?ng các tiêu chu?n th?m m? và s? nh?y c?m; ""ngh? thu?t tay ngh?"""
a,71142,0.5,0,gây ?n_t??ng sâu_s?c#1,ho?c b? ?nh h??ng ho?c ch?u ?nh h??ng rõ r?t
a,73761,0.125,0.625,c?ng_th?ng#3,"thi?u t? phát, không t? nhiên, ""m?t n? c??i h?n ch?"", ""bu?c s?? ân c?n"", ""m?t n? c??i c?ng th?ng"""
a,76580,0,0.875,thô_b?o#2,"có nh?ng hành vi, c? ch? xúc ph?m ??n ng??i khác m?t cách tr?ng tr?n; ""h? ?ã hành ??ng thô b?o sau khi vi ph?m th? ba"""
a,79069,0.125,0.625,e_ng?i#3,"trong s? hãi ho?c s? hãi c?a cái ác có th? ho?c gây t?n h?i; ""e ng?i cho cu?c s?ng c?a m?t ng??i"", ""e s? nguy hi?m"""
a,81234,0,0.625,m?t bình_t?nh#1,"không gi? ???c tâm tr?ng ?n ??nh; ""anh ?y b? m?t bình t?nh"""
a,84795,0,0.5,hung_d?#1,"s?n sàng gây tai ho? m?t cách ?áng s? ; ""m?t bài phát bi?u hung d? ch?ng l?i chính ph? m?i"""
a,85264,0,0.5,kích_??ng#1,"tác ??ng m?nh ??n tinh th?n gây ra nh?ng xúc ??ng mãnh li?t ; ""kích ??ng cha m?"""
a,89051,0.5,0,d?_ch?u#1,"phù h?p v?i ý thích riêng ho?c c?m xúc c?a b?n ho?c thiên nhiên;"" m?t cách d? ch?u """
a,89355,0.125,0.875,khó_ch?u#1,"không ph?i theo ý thích c?a b?n, ""m?t tình hu?ng khó ch?u"""
a,90219,0.333,0.667,kh?c_nghi?t#6,"m?nh khó ch?u, nghiêm ng?t; ""các s? ki?n kh?c nghi?t c?a s? ch?m tr? tòa án"""
a,94941,0.5,0,h?u_hi?u#2,"có kh? n?ng s?ng ho?c t?ng tr??ng bình th??ng và phát tri?n; "" v? thu?c h?u hi?u"""
a,95280,0,0.75,ch?t#1,"m?t kh? n?ng s?ng, không còn có bi?u hi?n c?a s? s?ng ; ""cây ?ã ch?t"", ""con s? ch?t"""
a,99290,0.5,0,s?ng#2,"? tr?ng thái còn s?ng, ch?a ch?t; ""cây v?n còn s?ng"""
a,100373,0,0.75,vô_h?n#4,"? tr?ng thái ?? ??n , m?t h?t s?  s?ng, ""m?t ánh m?t vô h?n"""
a,94324,0.125,0.5,không_th? ??i#1 không_th? chuy?n_nh??ng#1,"không có kh? n?ng ???c chuy?n giao;""v? trí này không th? ??i cho ng??i khác ???c"""
a,82160,0.625,0.25,không h?t_ho?ng#1,"không b? ?nh h??ng b?i s? hãi; ""anh ?y không h?t h??ng tr??c s? c? ?ó"""
a,80098,0,0.75,k?#2,"không h?p nhau, không th? cùng t?n t?i ; ""Hai lo?i th?c ?n này k? nhau"""
a,284400,0.125,0.5,d?u#4 m?m#19,"không xu?t s?c ho?c rõ ràng; ""m?t tr?ng ?? bóng m?m"", ""màu pastel m?m"""
a,285506,0.25,0.625,ghen#2,"khó ch?u, b?c d?c v?i ng??i ???c h??ng cái gì ?ó (th??ng là v? tinh th?n, tình c?m) h?n mình, có ???c cái mình mu?n mà không có ; ""nhìn v?i ánh m?t ghen """
a,286214,0.5,0,khách_quan#1,"có tính ch?t xu?t phát t? th?c t?, bi?u hi?n th?c t? m?t cách trung th?c, không thiên l?ch;  ""m?t th?m ??nh khách quan v? nh?ng ?u và khuy?t ?i?m"", ""con m?t khách quan c?a m?t nhà khoa h?c"""
a,286214,0.5,0,vô_t?#2,"có tính ch?t xu?t phát t? th?c t?, bi?u hi?n th?c t? m?t cách trung th?c, không thiên l?ch;  ""m?t con ng??i vô t?"""
a,299476,0,0.625,h?n_t?p#4,"không thu?n nh?t, g?m có nhi?u th? r?t khác nhau l?n l?n vào v?i nhau; ""?ám ?ông h?n t?p có ?? h?ng ng??i"""
a,300359,0,0.5,?inh tai nh?c_óc#4,"có c?m giác thính giác b? r?i lo?n, do tác ??ng c?a âm thanh có c??ng ?? quá m?nh; ""ti?ng búa ?inh tai nh?c óc"""
a,300359,0,0.5,?inh_tai#4,"có c?m giác thính giác b? r?i lo?n, do tác ??ng c?a âm thanh có c??ng ?? quá m?nh; ""ti?ng búa ?inh tai nh?c óc"""
a,300359,0,0.5,nh?c_óc#4,"có c?m giác thính giác b? r?i lo?n, do tác ??ng c?a âm thanh có c??ng ?? quá m?nh; ""ti?ng búa ?inh tai nh?c óc"""
a,301187,0.5,0,tính ???c#1,"có kh? n?ng ???c tính toán ho?c ??c tính; ""m?t r?i ro tính ???c"", ""tính ???c t? l? c??c"""
a,301777,0.125,0.625,khôn_l??ng#1,"khó có kh? n?ng ???c tính toán ho?c li?t kê, bi?t tr??c ???c ; ""bi?n hóa khôn l??ng"""
a,304144,0.375,0.5,hoang_dã#13,"có tính ch?t t? nhiên c?a núi r?ng, xa ??i s?ng c?a xã h?i loài ng??i ; ""??ng v?t hoang dã"""
a,305590,0,0.75,d?#12,"b?n ;""chi?c áo b? d?"""
a,310943,0.5,0,quá c?n_th?n#1,"quá nhi?u ho?c quá m?c c?n th?n ; ""anh ta quá c?n th?n"""
a,312757,0.125,0.75,li?u_l?nh#2,"b?t ch?p nguy hi?m ho?c h?u qu? tai h?i có th? x?y ra; ""hành ??ng li?u l?nh"""
a,325281,0.75,0,th?n_tr?ng#1,"hi?n th? c?n th?n suy tính tr??c; ""anh ta r?t th?n tr?ng trong công vi?c"""
a,328528,0.5,0,m?ch_l?c#3,"di?n ??t trôi tr?y, m?ch l?c , t?ng ?o?n m?t ;""?n nói m?ch l?c"""
a,339599,0.625,0,yên_tâm#1,"có ni?m tin ph?c h?i, gi?i thoát kh?i s? lo l?ng, ""anh c? yên tâm mà ngh? ng?i"""
a,342488,0.5,0,???c ch?ng_nh?n#2,"có kh? n?ng ???c b?o lãnh, xác nh?n, ""m?t th?c t? ???c ch?ng nh?n"""
a,344686,0.625,0,?i?u_ch?nh#2,"s?a ??i, s?p x?p l?i ít nhi?u cho ?úng h?n, h?p lí h?n ; ""lãi su?t ?i?u ch?nh"""
a,355258,0,0.625,không thay_??i#1,"không th?c hi?n ho?c tr? thành khác nhau; ""nh?ng nguyên nhân mà h? ?ã s?n xu?t v?n không thay ??i"""
a,363291,0.625,0,uy?n_chuy?n#2,"có dáng ?i?u, ???ng nét m?m m?i, gây c?m giác d?u dàng, ?a thích ; ""dáng ?i uy?n chuy?n"""
a,364881,0,0.625,xin_l?i#4,"xin ???c tha th? vì có l?i ; ""anh ?y ng? l?i xin l?i"""
a,404110,0.625,0.25,sôi_??ng#3,"? tr?ng thái có nhi?u bi?n ??ng không ng?ng ; ""nh?p s?ng sôi ??ng"""
a,408445,0.125,0.5,xanh_xao#3 nh?t#3,"thi?u s?c s?ng ho?c lãi su?t và hi?u qu?; ""m?t màn bi?u di?n nh?t c?a aria"", ""nh?t v?n xuôi v?i các v? ng?t nh?t c?a hoa o?i h??ng"", ""m?t hi?u su?t xanh xao"""
